host,host_source,country,collection_date,isolation_source,seq_tech,md5,length,accession,assigned,containment_dist,confidence,separation_note,top5
Sugar Glider,host_qualifier,China,2025,Unknown,Sanger,b6c57fc43edee41cd4df8585fb0dc88a,589,PX062013.1,novel_1,0.0138,high,,novel_1:0.014; novel_1:0.014; novel_1:0.014; novel_1:0.022; ST36:0.351
Homo sapiens,host_qualifier,Spain,2018,feces,Sanger,efd4f604da3cbaec12415321419d7221,607,PZ571668.1,novel_16,0.0283,high,,novel_16:0.028; novel_16:0.035; ST7:0.145; ST7:0.147; ST7:0.147
Homo sapiens,host_qualifier,Romania,24-Sep-2022,Unknown,Sanger,b1682f19dad4571c02a6c22060b37388,553,PZ318990.1,novel_16,0.0018,high,,novel_16:0.002; novel_16:0.011; ST7:0.152; ST7:0.154; ST7:0.154
Homo sapiens,host_qualifier,Poland: Warsaw,2018,cervix,Sanger,0c53d364a54a5cd42247ae3c57b7c783,261,PQ459514.1,novel_16,0.1063,medium,,novel_16:0.106; novel_16:0.122; ST7:0.378; ST7:0.386; ST7:0.390
Homo sapiens,host_qualifier,Poland: Warsaw,2018,anus,Sanger,931195679af7331b118b2ac4e72e2995,261,PQ459513.1,novel_16,0.0,high,,novel_16:0.000; novel_16:0.024; ST7:0.287; ST7:0.295; ST7:0.299
Homo sapiens,host_qualifier,Poland: Warsaw,2018,cervix,Sanger,931195679af7331b118b2ac4e72e2995,261,PQ459512.1,novel_16,0.0,high,,novel_16:0.000; novel_16:0.024; ST7:0.287; ST7:0.295; ST7:0.299
Homo sapiens,host_qualifier,Poland: Warsaw,2018,cervix,Sanger,931195679af7331b118b2ac4e72e2995,261,PQ459511.1,novel_16,0.0,high,,novel_16:0.000; novel_16:0.024; ST7:0.287; ST7:0.295; ST7:0.299
Felis catus,host_qualifier,Bangladesh,15-Jun-2023,feces,Sanger,39ed4ce975bdea229f1424dfaba3b1ed,603,PX106829.1,novel_7,0.0556,medium,,novel_7:0.056; ST3:0.079; ST3:0.079; ST3:0.079; ST3:0.079
Bird,host_qualifier,China: Qinghai,2021-05,fecal sample,Sanger,08dd62d06bc479dc8c728f47dc1de012,503,PV973226.1,novel_16,0.1351,medium,,novel_16:0.135; novel_16:0.165; ST7:0.317; ST7:0.317; ST7:0.317
Geochelones sulcata,host_qualifier,Serbia,Apr-2024,feces,Sanger,f1001ddd58278d2070423964a845f8f6,553,PV820625.1,novel_2,0.2357,low,no rival in top-5,novel_2:0.236; novel_2:0.238; novel_2:0.238; novel_2:0.238; novel_2:0.238
