accession,length,host,definition,note,isolation_source,host_raw,ref_titles,record_categories,record_evidence,study_categories,study_evidence,subtype,st_source
OQ703608.1,1999,Homo sapiens,"Blastocystis sp. isolate CME068 small subunit ribosomal RNA gene, partial sequence",,feces,Homo sapiens,Identification and validation of novel Blastocystis subtype ST41 in a Colombian patient undergoing colorectal cancer screening; Direct Submission,,,colorectal_cancer,colorectal_cancer=colorectal,ST17,curated_fulllength
OQ703059.1,607,Homo sapiens,"Blastocystis sp. isolate CME068 small subunit ribosomal RNA gene, partial sequence",,feces,Homo sapiens,Identification and validation of novel Blastocystis subtype ST41 in a Colombian patient undergoing colorectal cancer screening; Direct Submission,,,colorectal_cancer,colorectal_cancer=colorectal,ST17,barcode_mapping
OQ703045.1,559,Homo sapiens,"Blastocystis sp. isolate CME068 small subunit ribosomal RNA gene, partial sequence",,feces,Homo sapiens,Identification and validation of novel Blastocystis subtype ST41 in a Colombian patient undergoing colorectal cancer screening; Direct Submission,,,colorectal_cancer,colorectal_cancer=colorectal,ST17,barcode_mapping
ON185815.1,591,Homo sapiens,"Blastocystis sp. subtype 3 isolate 4E181-A30 small subunit ribosomal RNA gene, partial sequence","PCR_primers=fwd_name: RD5, rev_name: BhRDr",stool,Homo sapiens,Associated Risk of Blastocystis Infection in Colorectal Cancer; Direct Submission,,,colorectal_cancer,colorectal_cancer=Colorectal,ST3,barcode_mapping
ON185814.1,564,Homo sapiens,"Blastocystis sp. subtype 1 isolate 4E181-A32 small subunit ribosomal RNA gene, partial sequence","PCR_primers=fwd_name: RD5, rev_name: BhRDr",stool,Homo sapiens,Associated Risk of Blastocystis Infection in Colorectal Cancer; Direct Submission,,,colorectal_cancer,colorectal_cancer=Colorectal,ST1,barcode_mapping
ON185813.1,608,Homo sapiens,"Blastocystis sp. subtype 2 isolate 4E181-G57 small subunit ribosomal RNA gene, partial sequence","PCR_primers=fwd_name: RD5, rev_name: BhRDr",stool,Homo sapiens,Associated Risk of Blastocystis Infection in Colorectal Cancer; Direct Submission,,,colorectal_cancer,colorectal_cancer=Colorectal,ST2,barcode_mapping
OM976639.1,564,Homo sapiens,"Blastocystis sp. subtype 3 isolate 4E181-A9 small subunit ribosomal RNA gene, partial sequence","PCR_primers=fwd_name: RD5, rev_name: BhRDr",stool,Homo sapiens,Associated Risk of Blastocystis Infection in Colorectal Cancer; Direct Submission,,,colorectal_cancer,colorectal_cancer=Colorectal,ST3,barcode_mapping
OM976638.1,550,Homo sapiens,"Blastocystis sp. subtype 2 isolate 4E181-B17 small subunit ribosomal RNA gene, partial sequence","PCR_primers=fwd_name: RD5, rev_name: BhRDr",stool,Homo sapiens,Associated Risk of Blastocystis Infection in Colorectal Cancer; Direct Submission,,,colorectal_cancer,colorectal_cancer=Colorectal,ST2,barcode_mapping
OM976637.1,565,Homo sapiens,"Blastocystis sp. subtype 3 isolate 4E181-G44 small subunit ribosomal RNA gene, partial sequence","PCR_primers=fwd_name: RD5, rev_name: BhRDr",stool,Homo sapiens,Associated Risk of Blastocystis Infection in Colorectal Cancer; Direct Submission,,,colorectal_cancer,colorectal_cancer=Colorectal,ST3,barcode_mapping
OM976636.1,588,Homo sapiens,"Blastocystis sp. subtype 7 isolate 4E181-G50 small subunit ribosomal RNA gene, partial sequence","PCR_primers=fwd_name: RD5, rev_name: BhRDr",stool,Homo sapiens,Associated Risk of Blastocystis Infection in Colorectal Cancer; Direct Submission,,,colorectal_cancer,colorectal_cancer=Colorectal,ST7,barcode_mapping
