accession,length,host,definition,note,isolation_source,host_raw,ref_titles,record_categories,record_evidence,study_categories,study_evidence,subtype,st_source
PZ794597.1,622,Capra hircus,"Blastocystis sp. isolate 55-ST30 small subunit ribosomal RNA gene, partial sequence",ST30,,goat,Direct Submission,,,,,,
PZ794596.1,616,Capra hircus,"Blastocystis sp. isolate 49-ST4 small subunit ribosomal RNA gene, partial sequence",ST4,,goat,Direct Submission,,,,,,
PZ794595.1,627,Ovis aries,"Blastocystis sp. isolate 35-ST25 small subunit ribosomal RNA gene, partial sequence",ST25,,sheep,Direct Submission,,,,,,
PZ794594.1,605,Ovis aries,"Blastocystis sp. isolate 31-ST23 small subunit ribosomal RNA gene, partial sequence",ST23,,sheep,Direct Submission,,,,,,
PZ794593.1,627,Ovis aries,"Blastocystis sp. isolate 29-ST14 small subunit ribosomal RNA gene, partial sequence",ST14,,sheep,Direct Submission,,,,,,
PZ794592.1,619,Ovis aries,"Blastocystis sp. isolate 22-ST26 small subunit ribosomal RNA gene, partial sequence",ST26,,sheep,Direct Submission,,,,,,
PZ794591.1,632,Ovis aries,"Blastocystis sp. isolate 21-ST21 small subunit ribosomal RNA gene, partial sequence",ST21,,sheep,Direct Submission,,,,,,
PZ794590.1,607,Ovis aries,"Blastocystis sp. isolate 13-ST44 small subunit ribosomal RNA gene, partial sequence",ST44,,sheep,Direct Submission,,,,,,
PZ794589.1,603,Ovis aries,"Blastocystis sp. isolate 9-ST43 small subunit ribosomal RNA gene, partial sequence",ST43,,sheep,Direct Submission,,,,,,
PZ794588.1,618,Ovis aries,"Blastocystis sp. isolate 8-ST24 small subunit ribosomal RNA gene, partial sequence",ST24,,sheep,Direct Submission,,,,,,
PZ794587.1,604,Ovis aries,"Blastocystis sp. isolate 7-ST10 small subunit ribosomal RNA gene, partial sequence",ST10,,sheep,Direct Submission,,,,,,
PZ794586.1,606,Capra hircus,"Blastocystis sp. isolate 5-ST24 small subunit ribosomal RNA gene, partial sequence",ST24,,goat,Direct Submission,,,,,,
PZ794585.1,586,Capra hircus,"Blastocystis sp. isolate 1-ST31 small subunit ribosomal RNA gene, partial sequence",ST31,,goat,Direct Submission,,,,,,
PX062019.1,627,Sugar Glider,"Blastocystis sp. isolate 1-2 small subunit ribosomal RNA gene, partial sequence",,,Sugar Glider,Emergence of Genetic Diversity and molecular characterization of potential zoonotic intestinal parasites in Sugar Glider (Petaurus breviceps) in China; Direct Submission,,,,,ST35,barcode_mapping
PX062018.1,627,Sugar Glider,"Blastocystis sp. isolate 1-6 small subunit ribosomal RNA gene, partial sequence",,,Sugar Glider,Emergence of Genetic Diversity and molecular characterization of potential zoonotic intestinal parasites in Sugar Glider (Petaurus breviceps) in China; Direct Submission,,,,,ST35,barcode_mapping
