accession,subtype,host,host_source,country,collection_date,isolation_source,seq_technology,st_confidence,seq_length,cluster_top,cluster_subtype,cluster_variant,st_status,human_report,st_note,dist_from_medoid,potential_novel_variant,novel_variant_reason
PZ873232.1,ST2,Unknown,unknown,Malawi: Zomba,2024,Unknown,ONT,high,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.0019710918047021017,False,
PZ712195.1,ST26,Bos taurus,host_qualifier,Portugal,2024,stool,Sanger,high,2840,43,68,121,accepted,False,Cattle (USA); dominant in several US states,0.0019461574332442038,False,
PZ712194.1,ST42,Bos taurus,host_qualifier,Portugal,2024,stool,Sanger,high,2840,31,41,54,accepted,False,ST10 split; Santin et al. 2024,0.006341313718876904,False,
PZ712193.1,ST14,Bos taurus,host_qualifier,Portugal,2024,stool,Sanger,high,2840,49,88,181,accepted,True,Cattle/artiodactyls; rare in humans,0.001151631704202267,False,
PZ712192.1,ST10,Bos taurus,host_qualifier,Portugal,2024,stool,Sanger,high,2840,31,44,60,accepted,True,Artiodactyls; rare human reports; now split ST42-44,0.011330131846607513,False,
PZ712191.1,ST21,Bos taurus,host_qualifier,Portugal,2024,stool,Sanger,high,2840,47,81,169,accepted,False,Avian; accepted after full-length validation,0.003434465074373182,False,
OR889405.1,ST39,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,58,103,212,tentative,False,Recently proposed,0.0006272214457134326,False,
OR889404.1,ST39,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,58,103,212,tentative,False,Recently proposed,-0.0,False,
OR889403.1,ST39,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,58,103,212,tentative,False,Recently proposed,0.001883240160868585,False,
OR889402.1,ST39,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,58,103,212,tentative,False,Recently proposed,0.001254967872819556,False,
OR889401.1,ST39,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,58,103,211,tentative,False,Recently proposed,0.01009903750557595,False,
OR889400.1,ST39,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,58,103,212,tentative,False,Recently proposed,0.002512039191622726,False,
OR889399.1,ST2,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.0049966873690622466,False,
OR889398.1,ST2,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.003994683212005571,False,
OR889397.1,ST2,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.003994683212005571,False,
OR889396.1,ST2,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.0049966873690622466,False,
OR889395.1,ST2,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.0049966873690622466,False,
OR889394.1,ST2,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.0049966873690622466,False,
OR889393.1,ST39,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,58,103,211,tentative,False,Recently proposed,0.010734765452094735,False,
OR889392.1,ST39,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,58,103,211,tentative,False,Recently proposed,0.010734765452094735,False,
OR889391.1,ST39,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,58,103,211,tentative,False,Recently proposed,0.012007840232625015,False,
OR889390.1,ST2,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.0060000320003071985,False,
OR889389.1,ST39,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,58,103,211,tentative,False,Recently proposed,0.01009903750557595,False,
OR889388.1,ST1,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,59,107,230,accepted,True,Most prevalent globally; IBS association,0.026089587064061656,False,
OR889387.1,ST1,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,59,107,230,accepted,True,Most prevalent globally; IBS association,0.02711138558723332,False,
OR889386.1,ST1,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,59,107,230,accepted,True,Most prevalent globally; IBS association,0.026089587064061656,False,
OR889385.1,ST1,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,59,107,227,accepted,True,Most prevalent globally; IBS association,0.025069178743391516,False,
OR889384.1,ST1,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,59,107,227,accepted,True,Most prevalent globally; IBS association,0.026089587064061656,False,
OR889383.1,ST1,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,59,107,230,accepted,True,Most prevalent globally; IBS association,0.025069178743391516,False,
OR889382.1,ST1,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,59,107,230,accepted,True,Most prevalent globally; IBS association,0.025069178743391516,False,
OR889381.1,ST3,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,38,55,78,accepted,True,Most prevalent globally; IBS-D association,0.032738904507713384,False,
OR889380.1,ST3,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,38,55,78,accepted,True,Most prevalent globally; IBS-D association,0.033643881993080785,False,
OR889379.1,ST3,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,38,55,78,accepted,True,Most prevalent globally; IBS-D association,0.032738904507713384,False,
OR889378.1,ST3,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,38,55,78,accepted,True,Most prevalent globally; IBS-D association,0.033643881993080785,False,
OR889377.1,ST3,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,38,55,78,accepted,True,Most prevalent globally; IBS-D association,0.032738904507713384,False,
OR889376.1,ST3,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,38,55,78,accepted,True,Most prevalent globally; IBS-D association,0.033643881993080785,False,
OR889375.1,ST3,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,38,55,78,accepted,True,Most prevalent globally; IBS-D association,0.03545711950366273,False,
OR889374.1,ST3,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,38,55,78,accepted,True,Most prevalent globally; IBS-D association,0.033643881993080785,False,
OR889373.1,ST3,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,38,55,78,accepted,True,Most prevalent globally; IBS-D association,0.032738904507713384,False,
OR889372.1,ST3,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,38,55,78,accepted,True,Most prevalent globally; IBS-D association,0.03545711950366273,False,
OR889371.1,ST2,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.007004720697099539,False,
OR889370.1,ST2,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.007004720697099539,False,
OR889369.1,ST3,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,38,55,78,accepted,True,Most prevalent globally; IBS-D association,0.03454995277679354,False,
OR889368.1,ST3,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,38,55,78,accepted,True,Most prevalent globally; IBS-D association,0.03454995277679354,False,
OR889367.1,ST39,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,58,103,212,tentative,False,Recently proposed,0.0031413658490641013,False,
OR889366.1,ST2,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.00801075706525054,False,
OR889365.1,ST1,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,59,107,234,accepted,True,Most prevalent globally; IBS association,0.03637076245395787,False,
OR889364.1,ST3,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,38,55,78,accepted,True,Most prevalent globally; IBS-D association,0.03454995277679354,False,
OR889363.1,ST2,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.007004720697099539,False,
OR889362.1,ST3,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,38,55,78,accepted,True,Most prevalent globally; IBS-D association,0.03818522193572946,False,
OR889361.1,ST3,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,38,55,78,accepted,True,Most prevalent globally; IBS-D association,0.04092328399717647,False,
OR889360.1,ST3,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,38,55,78,accepted,True,Most prevalent globally; IBS-D association,0.037274751414204395,False,
OR889359.1,ST3,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,38,55,78,accepted,True,Most prevalent globally; IBS-D association,0.03916641857668201,False,
OR889358.1,ST3,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,38,55,78,accepted,True,Most prevalent globally; IBS-D association,0.03737428031090682,False,
OR889357.1,ST3,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,38,55,78,accepted,True,Most prevalent globally; IBS-D association,0.041912836049088645,False,
OR889356.1,ST3,Macaca thibetana,host_qualifier,China,2020,Unknown,Sanger,high,2840,38,58,85,accepted,True,Most prevalent globally; IBS-D association,0.02641117971829988,False,
LC888081.1,ST1,Homo sapiens,Unknown,"Japan: Wakayama, Wakayama",2024,stool,Unknown,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.001974984683070493,False,
LC888080.1,ST1,Homo sapiens,host_qualifier,"Japan: Wakayama, Wakayama",2024,stool,Unknown,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.001974984683070493,False,
LC888079.1,ST1,Homo sapiens,Unknown,"Japan: Wakayama, Wakayama",2024,stool,Unknown,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.001974984683070493,False,
LC888078.1,ST1,Homo sapiens,host_qualifier,"Japan: Wakayama, Wakayama",2024,stool,Unknown,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.001974984683070493,False,
PV065470.1,ST49,Roe deer,host_qualifier,Portugal,1998/2021,feces,ONT,high,2840,49,87,179,unknown,False,,,False,
PV065468.1,ST13,Roe deer,host_qualifier,Portugal,1998/2021,feces,ONT,high,2840,48,85,176,accepted,True,Rare; occasional human reports,0.0029615043415622483,False,
PV788964.1,ST10,Tibetan Pig,host_qualifier,China: Xinjiang,2024,feces,Sanger,high,2840,31,44,60,accepted,True,Artiodactyls; rare human reports; now split ST42-44,0.011330131846607513,False,
PV788963.1,ST1,Tibetan Pig,host_qualifier,China: Xinjiang,2024,feces,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.002964430736867519,False,
PV788962.1,ST5,Tibetan Pig,host_qualifier,China: Xinjiang,2024,feces,Sanger,high,2840,46,79,152,accepted,True,Predominantly pigs; zoonotic in humans,0.004050154490620749,False,
PV335996.1,ST8,Homo sapiens,Unknown,Singapore,15-Mar-2024,Unknown,Unknown,Unknown,2840,34,51,71,accepted,True,Non-human primates; rare in humans,0.0019126564398411253,False,
PV335995.1,ST2,Homo sapiens,Unknown,Singapore,13-Jun-2023,Unknown,Unknown,Unknown,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.0023183944272546437,False,
PV335994.1,ST2,Homo sapiens,Unknown,Singapore,04-Sep-2018,"National Public Health Laboratory, Ministry of Health",Unknown,Unknown,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.0023183944272546437,False,
PV335993.1,ST1,Homo sapiens,Unknown,Singapore,27-Aug-2020,Unknown,Unknown,Unknown,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.001974984683070493,False,
PV335992.1,ST1,Homo sapiens,Unknown,Singapore,01-Apr-2020,"Tan Tock Seng Hospital, Department of Laboratory Medicine",Unknown,Unknown,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.0009868422476399764,False,
PV335991.1,ST3,Homo sapiens,Unknown,Singapore,22-Feb-2018,"National Public Health Laboratory, Ministry of Health",Unknown,Unknown,2840,38,59,93,accepted,True,Most prevalent globally; IBS-D association,0.0036900443440873194,False,
OR117661.1,ST43,Ovis aries,host_qualifier,Portugal,Unknown,feces,ONT,high,2840,31,44,59,accepted,False,ST10 split; Santin et al. 2024,-0.0,False,
OM865776.1,ST40,Ovibos moschatus,Unknown,Greenland,Unknown,Unknown,ONT,high,2840,47,83,174,tentative,False,Recently proposed; Algeria study,,False,
PP847212.1,ST48,Pan troglodytes,Unknown,Czech Republic,Unknown,feces,ONT,high,2840,53,95,203,unknown,False,,,False,
PP847211.1,ST47,Pan troglodytes,Unknown,Czech Republic,Unknown,feces,ONT,high,2840,55,99,207,unknown,False,,,False,
PP393495.1,ST3,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,0.004157438583571504,False,
PP393494.1,ST3,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,0.004136800338976747,False,
PP393493.1,ST3,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,0.0008365868128992071,False,
PP393492.1,ST3,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,-0.0,False,
PP393491.1,ST3,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,-0.0,False,
PP393489.1,ST3,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,0.000825536682139137,False,
PP393488.1,ST3,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,0.0008365868128992071,False,
PP393487.1,ST3,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,0.0016741078379555875,False,
PP393486.1,ST3,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,-0.0,False,
PP393482.1,ST3,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,0.0008365868128992071,False,
PP393480.1,ST3,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,38,57,80,accepted,True,Most prevalent globally; IBS-D association,0.022060413904720005,False,
PP393479.1,ST3,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,38,56,79,accepted,True,Most prevalent globally; IBS-D association,0.034213457595762276,False,
PP393453.1,ST2,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,52,93,193,accepted,True,Common in humans; urticaria association,0.001974984683070493,False,
PP393452.1,ST2,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,52,93,193,accepted,True,Common in humans; urticaria association,0.001974984683070493,False,
PP393451.1,ST2,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.001974984683070493,False,
PP393450.1,ST2,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,52,93,194,accepted,True,Common in humans; urticaria association,-0.0,False,
PP393448.1,ST2,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,52,92,192,accepted,True,Common in humans; urticaria association,0.010905677941883685,True,minority cluster (92)
PP393445.1,ST2,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,52,93,193,accepted,True,Common in humans; urticaria association,0.0019710918047021017,False,
PP393443.1,ST2,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,52,93,193,accepted,True,Common in humans; urticaria association,-0.0,False,
PP393442.1,ST2,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,52,92,192,accepted,True,Common in humans; urticaria association,0.010905677941883685,True,minority cluster (92)
PP393438.1,ST2,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,52,93,193,accepted,True,Common in humans; urticaria association,-0.0,False,
PP393437.1,ST2,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,52,93,193,accepted,True,Common in humans; urticaria association,0.0019710918047021017,False,
PP393234.1,ST1,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.0009868422476399764,False,
PP393233.1,ST1,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,-0.0,False,
PP393232.1,ST1,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,-0.0,False,
PP393231.1,ST1,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,59,107,226,accepted,True,Most prevalent globally; IBS association,0.021001372161369814,False,
PP393229.1,ST1,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.0009868422476399764,False,
PP393228.1,ST1,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.001974984683070493,False,
PP393227.1,ST1,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.002964430736867519,False,
PP393226.1,ST1,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.001974984683070493,False,
PP393225.1,ST1,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,-0.0,False,
PP393224.1,ST1,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,-0.0,False,
PP393219.1,ST1,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,59,107,223,accepted,True,Most prevalent globally; IBS association,0.025069178743391516,False,
PP393218.1,ST1,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.0009868422476399764,False,
PP393217.1,ST1,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,-0.0,False,
PP393216.1,ST1,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,-0.0,False,
PP393214.1,ST1,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.002964430736867519,False,
PP393212.1,ST1,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,-0.0,False,
PP393211.1,ST1,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.0009868422476399764,False,
